x,y,w,h,eye_x,eye_y
562,317,198,198,618,396
562,317,198,198,695,399
553,314,201,201,613,395
553,314,201,201,693,396
502,326,201,201,642,390
485,323,208,208,623,405
485,323,208,208,549,409
507,332,184,184,573,480
507,332,184,184,632,408
507,332,184,184,560,406
508,328,195,195,566,404
508,328,195,195,640,405
508,328,195,195,580,405
508,328,193,193,567,405
508,328,193,193,639,407
200,31,137,137,246,78
506,326,198,198,565,405
506,326,198,198,641,406
506,324,201,201,567,405
506,324,201,201,640,406
505,323,203,203,567,406
505,323,203,203,640,406
504,321,206,206,567,404
504,321,206,206,639,406
506,326,199,199,567,405
506,326,199,199,640,405
507,324,200,200,567,405
507,324,200,200,640,406
507,325,199,199,567,405
507,325,199,199,641,406
505,325,198,198,566,404
505,325,198,198,639,405
210,40,137,137,258,90
505,324,200,200,565,405
505,324,200,200,639,406
505,324,201,201,566,405
505,324,201,201,640,406
506,325,198,198,638,405
506,325,198,198,567,404
507,326,198,198,567,404
507,326,198,198,639,405
506,325,198,198,601,404
508,325,198,198,593,449
508,325,198,198,569,404
508,325,198,198,625,401
508,325,198,198,638,401
504,323,203,203,571,402
504,323,203,203,635,400
512,328,185,185,566,403
512,328,185,185,639,403
510,328,186,186,566,403
510,328,186,186,638,403
506,328,191,191,566,403
506,328,191,191,634,402
496,335,179,179,609,401
496,335,179,179,557,408
219,44,137,137,269,93
482,341,157,157,587,399
220,44,135,135,269,93
218,45,135,135,273,95
221,47,134,134,269,95
223,47,135,135,268,95
220,46,134,134,268,94
220,47,132,132,269,93
218,44,136,136,268,93
222,42,142,142,270,93
226,43,137,137,273,93
232,45,134,134,281,91
234,43,139,139,284,91
231,42,137,137,282,87
542,331,166,166,655,401
537,322,180,180,658,400
537,322,180,180,599,393
538,322,177,177,660,402
538,322,177,177,648,400
538,322,177,177,598,389
543,326,171,171,660,401
543,326,171,171,596,392
540,326,176,176,660,401
540,326,176,176,600,386
540,326,176,176,594,394
539,326,177,177,659,400
539,326,177,177,607,394
539,326,177,177,594,394
540,326,179,179,658,400
540,326,179,179,591,396
537,324,181,181,659,401
537,324,181,181,594,395
539,326,176,176,660,401
539,326,176,176,592,393
542,327,175,175,658,401
542,327,175,175,591,398
541,327,175,175,659,402
541,327,175,175,594,396
539,327,175,175,659,402
539,327,175,175,589,399
539,326,175,175,657,397
539,326,175,175,588,397
541,324,172,172,586,395
541,324,172,172,656,394
535,320,179,179,586,394
535,320,179,179,656,393
535,321,177,177,586,395
535,321,177,177,655,394
533,319,181,181,586,395
533,319,181,181,655,394
535,321,175,175,585,395
535,321,175,175,654,395
535,324,175,175,586,395
535,324,175,175,653,394
534,324,174,174,584,396
534,324,174,174,653,394
536,326,170,170,584,395
536,326,170,170,652,394
536,325,172,172,585,396
536,325,172,172,651,395
535,325,173,173,584,397
535,325,173,173,651,395
536,326,172,172,585,396
536,326,172,172,652,395
535,327,172,172,585,396
