x,y,w,h,aspect_ratio,direction
522,41,297,297,1.0,right
527,47,290,290,1.0,right
517,36,301,301,1.0,right
517,36,301,301,1.0,right
521,35,298,298,1.0,right
536,52,308,308,1.0,right
524,61,303,303,1.0,left
518,55,314,314,1.0,left
516,51,322,322,1.0,left
525,59,306,306,1.0,left
521,55,310,310,1.0,right
520,58,308,308,1.0,right
522,55,310,310,1.0,right
522,55,310,310,1.0,right
519,52,316,316,1.0,left
514,50,322,322,1.0,left
522,53,310,310,1.0,left
524,58,308,308,1.0,left
522,53,310,310,1.0,right
524,57,303,303,1.0,right
524,57,303,303,1.0,right
526,60,299,299,1.0,right
522,53,310,310,1.0,left
522,53,310,310,1.0,right
525,60,303,303,1.0,right
521,57,306,306,1.0,right
519,51,316,316,1.0,right
522,53,310,310,1.0,right
519,51,316,316,1.0,right
522,53,310,310,1.0,right
519,55,310,310,1.0,right
522,53,310,310,1.0,right
522,53,310,310,1.0,right
521,55,312,312,1.0,right
525,62,296,296,1.0,right
526,59,298,298,1.0,right
525,57,302,302,1.0,right
526,59,298,298,1.0,right
527,58,299,299,1.0,left
527,58,299,299,1.0,right
526,56,301,301,1.0,left
526,56,301,301,1.0,left
526,56,301,301,1.0,right
526,57,303,303,1.0,right
525,60,302,302,1.0,right
525,60,302,302,1.0,left
522,58,306,306,1.0,right
522,58,306,306,1.0,right
522,58,306,306,1.0,left
526,59,306,306,1.0,right
526,57,306,306,1.0,right
526,57,306,306,1.0,left
523,57,306,306,1.0,right
524,55,310,310,1.0,right
524,55,310,310,1.0,left
525,61,302,302,1.0,right
525,61,302,302,1.0,left
519,55,310,310,1.0,left
519,55,310,310,1.0,right
519,55,310,310,1.0,left
523,61,303,303,1.0,right
523,61,303,303,1.0,left
525,62,299,299,1.0,right
525,62,299,299,1.0,left
525,66,296,296,1.0,left
525,66,296,296,1.0,right
522,62,298,298,1.0,right
522,62,298,298,1.0,right
523,61,302,302,1.0,right
524,63,298,298,1.0,right
522,59,302,302,1.0,right
522,59,302,302,1.0,left
523,61,302,302,1.0,right
