x,y,w,h,eye_x,eye_y
500,120,306,306,583,243
500,120,306,306,709,238
552,129,295,295,713,246
552,129,295,295,656,245
552,129,295,295,754,246
552,129,295,295,672,245
552,129,295,295,633,249
553,140,286,286,657,249
553,140,286,286,756,249
553,140,286,286,711,252
553,140,286,286,633,250
498,138,284,284,699,245
498,138,284,284,582,251
553,212,198,198,689,293
546,202,215,215,689,292
545,167,226,226,700,258
550,159,226,226,677,247
546,151,238,238,705,247
554,117,255,255,688,216
554,117,255,255,720,222
536,93,278,278,722,207
536,93,278,278,682,206
531,96,284,284,687,209
531,96,284,284,609,215
531,96,284,284,724,212
532,97,290,290,688,209
532,97,290,290,613,214
532,97,290,290,729,212
533,96,296,296,694,212
533,96,296,296,733,211
533,96,296,296,609,213
534,93,301,301,694,213
534,93,301,301,737,215
534,93,301,301,617,217
534,102,296,296,696,219
534,102,296,296,738,218
534,102,296,296,616,217
526,100,306,306,698,220
526,100,306,306,738,220
526,100,306,306,614,223
536,109,293,293,738,221
536,109,293,293,697,223
536,109,293,293,615,223
531,107,293,293,695,222
531,107,293,293,734,222
531,107,293,293,614,223
529,106,295,295,698,224
529,106,295,295,641,223
529,106,295,295,728,223
529,106,295,295,632,224
529,106,295,295,608,225
502,107,304,304,715,229
502,107,304,304,593,232
501,114,293,293,704,228
501,114,293,293,587,233
493,116,290,290,697,227
493,116,290,290,583,232
493,116,290,290,649,230
488,111,298,298,697,226
488,111,298,298,583,234
492,115,293,293,695,227
492,115,293,293,581,236
502,128,267,267,690,228
502,128,267,267,576,235
486,118,293,293,686,228
486,118,293,293,571,236
477,126,289,289,680,230
477,126,289,289,613,391
477,126,289,289,567,237
486,136,265,265,678,230
486,136,265,265,567,239
482,133,267,267,672,232
482,133,267,267,564,242
482,133,267,267,570,236
484,139,260,260,672,232
484,139,260,260,556,240
484,139,260,260,572,241
487,149,245,245,541,245
487,149,245,245,667,234
487,149,245,245,561,243
478,149,252,252,547,248
478,149,252,252,664,238
470,145,270,270,559,251
470,145,270,270,667,240
470,145,270,270,542,247
489,151,244,244,558,247
489,151,244,244,669,239
489,151,244,244,571,247
476,135,287,287,672,239
476,135,287,287,564,245
475,137,285,285,672,239
475,137,285,285,561,246
481,147,267,267,674,239
481,147,267,267,561,246
478,143,272,272,674,239
478,143,272,272,563,246
479,140,275,275,675,240
479,140,275,275,556,247
476,138,285,285,673,241
476,138,285,285,560,247
483,146,265,265,560,247
483,146,265,265,672,241
481,145,270,270,674,242
481,145,270,270,560,249
