x,y,w,h
548,235,255,255
542,235,255,255
539,233,255,255
530,230,263,263
530,229,266,266
532,228,268,268
536,230,264,264
535,230,266,266
537,229,263,263
536,234,255,255
535,231,263,263
536,227,270,270
537,230,264,264
541,230,264,264
538,229,269,269
541,231,263,263
537,228,269,269
543,230,263,263
548,238,255,255
544,232,264,264
538,225,272,272
543,229,263,263
536,227,272,272
539,225,272,272
550,237,255,255
541,229,263,263
542,230,263,263
541,225,272,272
538,218,274,274
540,223,268,268
545,227,255,255
548,228,255,255
550,225,255,255
546,231,245,245
538,236,237,237
534,239,231,231
524,231,245,245
521,230,249,249
528,228,250,250
542,224,256,256
548,225,255,255
560,219,264,264
570,220,263,263
580,223,255,255
586,227,255,255
596,226,255,255
603,226,255,255
596,223,266,266
591,229,255,255
573,228,255,255
553,230,255,255
537,240,235,235
533,251,219,219
531,245,229,229
530,245,230,230
541,254,218,218
532,236,250,250
542,240,243,243
542,228,263,263
552,230,255,255
565,230,262,262
580,232,255,255
579,238,255,255
570,235,264,264
570,240,255,255
561,239,255,255
561,240,255,255
546,236,272,272
560,239,268,268
570,239,269,269
576,238,267,267
577,235,267,267
576,234,273,273
576,236,274,274
578,237,267,267
569,238,266,266
554,235,267,267
545,238,262,262
535,244,252,252
529,250,242,242
529,253,244,244
527,245,252,252
525,240,263,263
544,241,263,263
559,244,258,258
579,237,264,264
593,232,257,257
608,240,243,243
601,236,255,255
598,234,263,263
590,236,263,263
581,228,279,279
592,241,256,256
586,236,273,273
584,230,278,278
589,233,270,270
595,237,262,262
600,230,263,263
599,228,270,270
606,229,268,268
608,236,263,263
619,234,262,262
610,229,273,273
614,233,263,263
622,232,264,264
622,230,263,263
618,227,267,267
620,233,255,255
621,232,255,255
615,232,255,255
613,232,255,255
613,230,255,255
607,229,256,256
