x,y,w,h,aspect_ratio,direction
602,129,238,238,1.0,right
603,123,242,242,1.0,right
559,186,242,242,1.0,left
490,100,321,321,1.0,left
490,100,321,321,1.0,right
490,100,321,321,1.0,center
488,98,326,326,1.0,right
488,98,326,326,1.0,left
485,96,331,331,1.0,right
485,96,331,331,1.0,left
491,98,326,326,1.0,right
491,98,326,326,1.0,left
491,98,326,326,1.0,left
494,100,326,326,1.0,right
494,100,326,326,1.0,left
493,105,319,319,1.0,right
493,105,319,319,1.0,left
494,101,324,324,1.0,right
494,101,324,324,1.0,left
496,100,324,324,1.0,left
496,100,324,324,1.0,right
498,101,319,319,1.0,right
498,101,319,319,1.0,left
491,99,325,325,1.0,left
491,99,325,325,1.0,right
479,97,331,331,1.0,right
479,97,331,331,1.0,left
479,97,331,331,1.0,center
494,100,321,321,1.0,right
494,100,321,321,1.0,left
494,100,321,321,1.0,center
489,102,325,325,1.0,right
489,102,325,325,1.0,left
492,102,323,323,1.0,right
492,102,323,323,1.0,left
494,98,331,331,1.0,right
494,98,331,331,1.0,left
501,99,325,325,1.0,right
501,99,325,325,1.0,left
503,95,331,331,1.0,right
503,95,331,331,1.0,left
503,101,326,326,1.0,right
503,101,326,326,1.0,left
501,98,331,331,1.0,right
546,105,309,309,1.0,right
544,105,313,313,1.0,right
546,107,310,310,1.0,right
546,107,310,310,1.0,left
554,111,298,298,1.0,right
554,111,298,298,1.0,left
547,104,316,316,1.0,left
547,104,316,316,1.0,right
551,113,309,309,1.0,right
551,113,309,309,1.0,left
550,114,313,313,1.0,center
550,114,313,313,1.0,right
550,114,313,313,1.0,left
552,116,309,309,1.0,left
552,116,309,309,1.0,right
557,114,307,307,1.0,right
557,114,307,307,1.0,left
547,109,319,319,1.0,right
547,109,319,319,1.0,left
552,114,313,313,1.0,right
552,114,313,313,1.0,left
552,114,313,313,1.0,center
547,110,320,320,1.0,right
547,110,320,320,1.0,left
544,109,321,321,1.0,right
544,109,321,321,1.0,left
544,109,321,321,1.0,center
541,108,324,324,1.0,left
541,108,324,324,1.0,right
548,110,320,320,1.0,left
548,110,320,320,1.0,right
548,110,320,320,1.0,center
545,111,325,325,1.0,right
545,111,325,325,1.0,left
545,112,320,320,1.0,right
545,112,320,320,1.0,left
541,106,325,325,1.0,right
541,106,325,325,1.0,left
544,109,325,325,1.0,right
544,109,325,325,1.0,left
541,108,319,319,1.0,right
541,108,319,319,1.0,center
541,108,319,319,1.0,left
541,108,319,319,1.0,center
542,110,317,317,1.0,center
542,110,317,317,1.0,left
542,110,317,317,1.0,right
539,106,325,325,1.0,right
539,106,325,325,1.0,left
540,120,318,318,1.0,right
533,112,331,331,1.0,right
532,111,331,331,1.0,right
533,110,331,331,1.0,right
533,110,331,331,1.0,left
533,108,331,331,1.0,right
533,108,331,331,1.0,left
537,114,325,325,1.0,left
537,114,325,325,1.0,right
532,112,326,326,1.0,center
532,112,326,326,1.0,right
532,112,326,326,1.0,left
532,112,326,326,1.0,right
532,112,326,326,1.0,left
528,107,331,331,1.0,right
528,107,331,331,1.0,left
530,108,331,331,1.0,left
530,108,331,331,1.0,right
530,108,331,331,1.0,left
530,108,331,331,1.0,right
528,107,331,331,1.0,left
528,107,331,331,1.0,right
531,110,331,331,1.0,right
531,110,331,331,1.0,left
529,112,331,331,1.0,right
529,112,331,331,1.0,left
529,112,331,331,1.0,left
529,112,331,331,1.0,right
523,103,339,339,1.0,center
523,103,339,339,1.0,left
528,109,331,331,1.0,left
528,107,331,331,1.0,right
528,107,331,331,1.0,left
535,110,325,325,1.0,right
535,110,325,325,1.0,left
532,107,331,331,1.0,left
532,107,331,331,1.0,right
530,108,331,331,1.0,right
530,108,331,331,1.0,left
